id,name,code
hr_profession_33132,Outros técnicos administrativos de contabilidade,33132
hr_profession_33140,"Técnicos de nível intermédio, de estatística, matemática e similares",33140
hr_profession_33150,"Avaliador de imóveis, seguros e outros bens  ",33150
hr_profession_33210,Agente de seguros,33210
hr_profession_33220,Representante comercial,33220
hr_profession_33230,Técnico de compras,33230
hr_profession_33240,Corretor comercial,33240
hr_profession_33310,"Despachante, transitário e similares",33310
hr_profession_33320,Organizador de conferências e eventos,33320
hr_profession_33330,Técnico da área do emprego,33330
hr_profession_33340,Agente imobiliário e gestor de propriedades,33340
hr_profession_33390,Outros agentes de negócios,33390
hr_profession_33411,Chefe de escritório,33411
hr_profession_33412,Encarregado de armazém,33412
hr_profession_33413,Chefe de estação de correios,33413
hr_profession_33414,Fiscal e encarregado de portagem,33414
hr_profession_33415,Supervisor de cargas e descargas,33415
hr_profession_33416,Outros supervisores de pessoal administrativo,33416
hr_profession_33420,Secretário da área jurídica,33420
hr_profession_33430,Secretário administrativo e executivo,33430
hr_profession_33440,Secretário da área da medicina,33440
hr_profession_33510,Inspector de alfândega e de fronteira,33510
hr_profession_33520,Agente da administração tributária,33520
hr_profession_33530,Agente de serviços da segurança social,33530
hr_profession_33540,Agente de serviços de licenciamento,33540
hr_profession_33550,Inspector e detective da polícia,33550
hr_profession_33590,"Outros agentes de nível intermédio da Administração Pública, para aplicação da lei e similares",33590
hr_profession_34110,Técnico de nível intermédio dos serviços jurídicos e relacionados,34110
hr_profession_34120,Técnico de nível intermédio de apoio social,34120
hr_profession_34130,Membro de ordem religiosa e técnicos de apoio religioso,34130
hr_profession_34211,Jogador profissional de futebol,34211
hr_profession_34212,Ciclista profissional,34212
hr_profession_34213,Outros atletas e desportistas de competição,34213
hr_profession_34221,Treinador de desportos,34221
hr_profession_34222,Árbitro (juiz) de desportos,34222
hr_profession_34223,Instrutor de desportos,34223
hr_profession_34230,Instrutores e monitores de actividade física e recreação,34230
hr_profession_34310,Fotógrafo,34310
hr_profession_34320,Decorador,34320
hr_profession_34330,"Técnicos de galerias, bibliotecas, arquivos e museus",34330
hr_profession_34340,Chefe de cozinha,34340
hr_profession_34351,"Toureiro, cavaleiro tauromáquico e outros profissionais similares",34351
hr_profession_34352,"Outros técnicos de nível intermédio das actividades culturais e artísticas, n.e.",34352
hr_profession_35110,Técnico operador das tecnologias de informação e comunicação (TIC),35110
hr_profession_35120,Técnico de apoio aos utilizadores das tecnologias da informação e comunicação (TIC),35120
